
number of params: 3072 

epoch: 242 avg_loss: 0.3633, acc: 0.9128 
val --- avg_loss: 0.2048, acc: 1.0000  

epoch: 243 avg_loss: 0.3617, acc: 0.9128 
val --- avg_loss: 0.2043, acc: 1.0000  

epoch: 244 avg_loss: 0.3600, acc: 0.9134 
val --- avg_loss: 0.2031, acc: 1.0000  

epoch: 245 avg_loss: 0.3583, acc: 0.9137 
val --- avg_loss: 0.2020, acc: 1.0000  

epoch: 246 avg_loss: 0.3566, acc: 0.9148 
val --- avg_loss: 0.2010, acc: 1.0000  

epoch: 247 avg_loss: 0.3550, acc: 0.9154 
val --- avg_loss: 0.1997, acc: 1.0000  

epoch: 248 avg_loss: 0.3533, acc: 0.9157 
val --- avg_loss: 0.1987, acc: 1.0000  

epoch: 249 avg_loss: 0.3517, acc: 0.9168 
val --- avg_loss: 0.1974, acc: 1.0000  

epoch: 250 avg_loss: 0.3502, acc: 0.9168 
val --- avg_loss: 0.1969, acc: 1.0000  

epoch: 251 avg_loss: 0.3484, acc: 0.9174 
val --- avg_loss: 0.1961, acc: 1.0000  

epoch: 252 avg_loss: 0.3468, acc: 0.9177 
val --- avg_loss: 0.1948, acc: 1.0000  

